Order,Question,Answer
196,Sierra Leone,Freetown
197,Singapore,Singapore
198,Sint Maarten,Philipsburg
199,Slovakia,Bratislava
200,Slovenia,Ljubljana
201,Solomon Islands,Honiara
202,Somalia,Mogadishu
203,Somaliland,Hargeisa
204,South Africa,Pretoria
205,South Georgia and the South Sandwich Islands,Grytviken
206,South Korea,Seoul
207,South Ossetia,Tskhinvali
208,South Sudan South Sudan,Juba
209,Spain,Madrid
210,Sri Lanka,Sri Jayawardenapura Kotte
211,Sudan,Khartoum
212,Suriname,Paramaribo
213,Swaziland,Mbabane
214,Sweden,Stockholm
215,Switzerland,Bern
216,Syria,Damascus
217,São Tomé and Príncipe,São Tomé
218,Tajikistan,Dushanbe
219,Tanzania,Dodoma
220,Thailand,Bangkok
221,Togo,Lomé
222,Tonga,Nukuʻalofa
223,Transnistria,Tiraspol
224,Trinidad and Tobago,Port of Spain
225,Tristan da Cunha,Edinburgh of the Seven Seas
226,Tunisia,Tunis
227,Turkey,Ankara
228,Turkmenistan,Ashgabat
229,Turks and Caicos Islands,Cockburn Town
230,Tuvalu,Funafuti
231,Uganda,Kampala
232,Ukraine,Kiev
233,United Arab Emirates,Abu Dhabi
234,United Kingdom; England,London
235,United States,"Washington, D.C."
236,United States Virgin Islands,Charlotte Amalie
237,Uruguay,Montevideo
238,Uzbekistan,Tashkent
239,Vanuatu,Port Vila
240,Vatican City,Vatican City
241,Venezuela,Caracas
242,Vietnam,Hanoi
243,Wales,Cardiff
244,Wallis and Futuna,Mata-Utu
245,Western Sahara,El Aaiún
246,Yemen,Sanaá
247,Zambia,Lusaka
248,Zimbabwe,Harare
